problem,nx,nt,ny,n_iterations,num_domain,seed,pinn_time,fdm_time,residual_estimation_time,stability_flag,pinn_error_l2,pinn_error_relative_l2,e_res_vs_true_l2,e_res_vs_true_relative_l2,e_fdm_vs_true_l2,e_fdm_vs_true_relative_l2,prob_x_min,prob_x_max,prob_t_max,prob_diffusivity,prob_frequency,prob_velocity_x,prob_phase_shift,prob_propagation_speed,prob_initital_concentration,prob_y_min,prob_y_max
drift_diffusion,256,256,16,10000,1000,6,24.568734884262085,0.012100934982299805,0.2197420597076416,false,0.007580063336034765,0.021465023595097985,0.00003179443102619681,0.004194480918787216,0.00023700549940490983,0.03126695502374094,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
drift_diffusion,32,32,16,10000,10,0,11.206326007843018,0.0006442070007324219,0.019010066986083984,false,2.2030356690173876,6.155093351635396,0.050314964890635056,0.022838924307147904,0.015825675346876712,0.007183576539155802,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
wave,8,8,16,0,100,7,0.002062082290649414,0.000026226043701171875,0.0033309459686279297,false,0.8377079777071502,1.6886605564251118,0.04337158934338701,0.05177411520193143,0.018958173771005418,0.022631005404645795,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
poisson_1d,16,32,16,0,10,2,0.0011141300201416016,0.000026941299438476562,0.0004239082336425781,false,0.6306472328960332,0.9211192407609903,0.002400801828580642,0.0038068855349698036,0.0025081860605056672,0.003977161762825272,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
heat,32,32,16,0,1,6,0.003011941909790039,0.0006058216094970703,0.01258397102355957,false,0.4344126521979041,1.2314770256125416,0.0008465372441645967,0.0019486938050297439,0.0006581365706071615,0.0015150032285600559,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
poisson_1d,256,32,16,0,10,2,0.0011141300201416016,0.00005888938903808594,0.0006730556488037109,false,0.6500561941985006,0.921119107231576,8.54422827528717e-6,0.000013143830258893142,8.926404123405047e-6,0.000013731742275621308,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
wave,128,128,16,10000,0,2,0.0029900074005126953,0.00041484832763671875,0.10469579696655273,false,0.867417999088299,1.7348889435933672,0.00012599661323926605,0.00014525478301314357,0.00006338688741085187,0.00007307536559937048,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
heat,128,128,16,0,10000,2,0.006754875183105469,0.0046117305755615234,0.07762694358825684,false,0.43775268317211496,1.2418352542645166,0.00005074771182802626,0.00011592781444602439,0.00003992627534176886,0.00009120738004950319,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
poisson_1d,16,32,16,0,10,4,0.0012879371643066406,0.000026226043701171875,0.00047206878662109375,false,0.6861665506935404,1.0022103947209708,0.0024792431414384234,0.003613179830658514,0.0025081860605056672,0.0036553604339508053,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
poisson_2d,32,32,32,10000,100,7,12.446485996246338,0.0007228851318359375,0.0020198822021484375,false,0.000019837708886930476,0.000040955269960114515,3.4786538628654787e-6,0.1753556261297774,0.00041476287710914914,20.907801373187475,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
heat,256,256,16,0,10000,3,0.007035732269287109,0.011504173278808594,0.15310287475585938,false,0.4328711140033945,1.2281176807886676,0.00001258978932823484,0.00002908438313612238,9.934186103617024e-6,0.0000229495241937976,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
wave,256,256,16,0,10000,7,0.00733494758605957,0.0008521080017089844,0.2000141143798828,false,0.8753425443230333,1.7506984454661643,0.0000312142789808559,0.00003565950173825516,0.000015783443300198566,0.000018031162089128273,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
drift_diffusion,8,8,16,10000,1,9,10.654066801071167,0.0001380443572998047,0.004426002502441406,true,0.5472282518609135,1.4714076367340072,0.3600579473589766,0.6579666640648715,0.26151842143576154,0.477896418078631,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
poisson_1d,64,32,16,10000,10,7,6.535207033157349,0.00003361701965332031,0.00040721893310546875,false,0.0004743360348697026,0.000676115401403156,8.209055686694214e-6,0.017306413772564134,0.00014539741646764722,0.30652829593171516,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
poisson_2d,128,32,128,10000,10000,3,142.39120817184448,0.02509593963623047,0.03264284133911133,false,0.00002358643585657356,0.000047544311647896296,7.146263531141805e-8,0.003029819161558416,0.000025298111418601268,1.0725703354389342,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
poisson_2d,256,32,256,10000,10,9,10.495101928710938,0.13831090927124023,0.16274094581604004,false,0.09213345277788662,0.18498952087167816,4.330207435816785e-6,0.00004699929618676023,6.299580846651019e-6,0.00006837452257257642,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
wave,64,64,16,0,1000,3,0.002979278564453125,0.00017499923706054688,0.03585195541381836,false,0.8615842967213295,1.7233789796950076,0.0005130337230707849,0.0005954538923505011,0.0002556346352812184,0.00029670298803496036,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
poisson_1d,16,32,16,10000,1,9,5.765926837921143,0.0000209808349609375,0.00031280517578125,false,0.09878450213033842,0.1442840003965426,0.0006476851673280724,0.006556546354543568,0.0025081860605056672,0.02539048136514683,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
heat,256,256,16,0,10,9,0.0016367435455322266,0.011716842651367188,0.16473674774169922,false,0.4366913999033042,1.238956381980704,0.000012601949482252828,0.000028857791761054264,9.934186103617024e-6,0.000022748755999812983,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
heat,32,32,16,10000,10000,1,96.57632112503052,0.0006539821624755859,0.011802911758422852,false,0.0000770983851660447,0.00021855921912826117,0.000023143147242120215,0.3001768090505064,0.0006581365706071615,8.536321081030387,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
wave,16,16,16,0,10,2,0.0019478797912597656,0.00005125999450683594,0.00791478157043457,false,0.8509684658700515,1.7052707976809285,0.009203228280248403,0.010815005078759047,0.004322163832073661,0.005079111630364084,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
poisson_2d,8,32,8,10000,1,2,9.319634914398193,0.00004482269287109375,0.0008447170257568359,false,0.13713844789648802,0.31345930947768674,0.006893139471248363,0.05026409133966058,0.007418007097193637,0.05409137416220968,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
drift_diffusion,16,16,16,10000,100,4,13.016759872436523,0.0002892017364501953,0.008835077285766602,true,0.0970784903929719,0.26737877716041475,0.05785121391305392,0.5959220593446936,0.06769679643284385,0.697340844082025,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
heat,256,256,16,10000,100,3,9.242278099060059,0.013550996780395508,0.15758991241455078,false,0.00020663160438312217,0.000586243615116003,6.760136655692744e-7,0.003271588911033808,9.934186103617024e-6,0.04807679896436815,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
heat,256,256,16,10000,10000,4,92.54381108283997,0.011555910110473633,0.16908025741577148,false,0.0000742633211586461,0.00021069573551702785,3.953790540447535e-7,0.005324015245690222,9.934186103617024e-6,0.13376975266675184,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
poisson_2d,256,32,256,10000,100,5,12.581224918365479,0.14234423637390137,0.17665314674377441,false,0.000011057246765252027,0.00002220121703454524,3.0877655644441585e-8,0.002792526593617949,6.299580846651019e-6,0.5697241800183755,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
wave,8,8,16,10000,10,3,10.671231985092163,0.00002574920654296875,0.0035691261291503906,false,0.35940408635066706,0.7244905391727609,0.07019677053907733,0.1953143361608499,0.018958173771005418,0.052748909906683995,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
drift_diffusion,32,32,16,0,10,3,0.001990079879760742,0.0006768703460693359,0.01864790916442871,false,0.8337110087621126,2.32931729585011,0.020679091594791966,0.024803668630328048,0.015825675346876712,0.018982207480232924,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
poisson_2d,8,32,8,0,10,3,0.0017771720886230469,0.00004506111145019531,0.0008018016815185547,false,0.43915201466832715,1.0037760335276045,0.0074327366509285685,0.01692520221395818,0.007418007097193637,0.016891661314126363,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
